	X	Y	OBJECTID	LocID	API	ConstructNumber	ConstructType	ConstructStatus	LocType	ElevationType	Depth	Latitude	Longitude	CoordsBH_N	CoordsBH_E	UTMZone	FootageNS	Dir_NS	FootageEW	Dir_EW	QtrQtr	Section	Township	TownshipDir	Range	RangeDir	Meridian	County	FORKLIFT_HASH
18061	-110.081517825	40.0671976900001	153906	120959	4301350124	0	Directional	P	BH			40.067192	-110.081507	4435619.0	578326.0	12.0	169	FSL	1097.0	FEL	SESE	35.0	8.0	S	16.0	E	S	7.0	6ca95092747aaca0
18073	-110.093408191	40.0972749050001	153918	124260	4301350132	0	Vertical	P	BH			40.097269	-110.093397	4438947.0	577278.0	12.0	359	FSL	730.0	FWL	SWSW	23.0	8.0	S	16.0	E	S	7.0	20ecd0717ecd9206
18090	-110.593550169	40.1311207750001	153937	137407	4301352059	0	Directional	OPS	BH			40.131115	-110.593539	4442389.0	534629.0	12.0	1980	FSL	660.0	FWL	NESE	17.0	4.0	S	6.0	W	U	7.0	fc2ea178788087e8
18099	-110.649096649	40.084614624	153947	112322	4301352055	0	Directional	PA	BH			40.084609	-110.649085	4437207.0	529917.0	12.0	810	FSL	810.0	FWL	SWSW	35.0	4.0	S	7.0	W	U	7.0	167bc8fc36db50d2
18207	-110.088360087	40.1186327	154069	127935	4301350308	0	Vertical	P	BH			40.118627	-110.088349	4441322.0	577684.0	12.0	1979	FSL	666.0	FEL	NESE	22.0	4.0	S	2.0	W	U	7.0	4b13871746dca12d
18233	-110.178143621	40.114962103	154105	118027	4301350171	0	Vertical	LA	BH			40.114956	-110.178132	4440840.0	570037.0	12.0	660	FSL	667.0	FWL	SWSW	24.0	4.0	S	3.0	W	U	7.0	5b662835ce80f63e
18241	-110.207047069	40.125983976	154117	126104	4301350670	0	Vertical	LA	BH			40.125978	-110.207036	4442041.0	567563.0	12.0	573	FNL	2125.0	FEL	NWNE	22.0	4.0	S	3.0	W	U	7.0	f83aee496566dc14
18277	-110.382223959	40.149673804	154156	134562	4301353142	0	Directional	APD	BH			40.149668	-110.382213	4444552.0	552619.0	12.0	1980	FNL	1980.0	FWL	SENW	7.0	4.0	S	4.0	W	U	7.0	0ddb49ebf958d2fc
18296	-110.471746621	40.095113532	154179	120667	4301352113	0	Directional	P	BH			40.095107	-110.471735	4438447.0	545030.0	12.0	631	FNL	2017.0	FEL	NWNE	32.0	4.0	S	5.0	W	U	7.0	aa97144a118453a5
18298	-110.480843543	40.1669426460001	154181	121542	4301351242	0	Directional	P	BH			40.166937	-110.480832	4446415.0	544208.0	12.0	833	FNL	809.0	FWL		5.0	4.0	S	5.0	W	U	7.0	2ca23650f0889564
18302	-110.471809901	40.1203045780001	154185	125438	4301352947	0	Directional	LA	BH			40.120298	-110.471799	4441243.0	545008.0	12.0	1980	FNL	1980.0	FEL	SWNE	20.0	4.0	S	5.0	W	U	7.0	eef5af1eda79a06b
18399	-110.168947135	40.086714812	154290	111606	4301334182	0	Vertical	P	BH			40.086709	-110.168936	4437712.0	570850.0	12.0	1819	FSL	572.0	FWL		30.0	8.0	S	16.0	E	S	7.0	50c90bfe777174b8
18526	-110.070053303	40.09794564	154425	138275	4301331630	0	Vertical	PA	BH			40.09794	-110.070042	4439042.0	579268.0	12.0	660	FSL	1980.0	FWL	SESW	24.0	8.0	S	16.0	E	S	7.0	8e3be28ef5adb8c6
18560	-110.03940549	40.070748236	154468	119944	4301350656	0	Directional	P	BH			40.070742	-110.039394	4436051.0	581913.0	12.0	1325	FSL	82.0	FWL	SWSW	32.0	8.0	S	17.0	E	S	7.0	d09c3e9749700171
18744	-110.08643925	40.0780029490001	154679	112102	4301334149	0	Directional	P	BH			40.077997	-110.086428	4436814.0	577894.0	12.0	1469	FNL	2428.0	FEL	NWNE	35.0	8.0	S	16.0	E	S	7.0	9f8a1634dba55a33
18753	-110.065834983	40.0675407790001	154689	115049	4301350958	0	Horizontal	LA	BH			40.067535	-110.065824	4435671.0	579663.0	12.0	160	FSL	2100.0	FEL	SWSE	36.0	8.0	S	16.0	E	S	7.0	18ae05f22d9b98ed
18762	-110.060908464	40.0710596930001	154701	119079	4301352780	0	Directional	LA	BH			40.071054	-110.060897	4436066.0	580079.0	12.0	1439	FSL	721.0	FEL	NESE	36.0	8.0	S	16.0	E	S	7.0	67024c084b45676e
18816	-110.097872046	40.094165457	154768	135624	4301350040	0	Vertical	LA	BH			40.094159	-110.097861	4438598.0	576901.0	12.0	781	FNL	519.0	FEL	NENE	27.0	8.0	S	16.0	E	S	7.0	b610ad11d0b005e1
18835	-110.019145375	40.0835430650001	154788	110690	4301331771	0	Vertical	I	BH			40.083537	-110.019134	4437490.0	583625.0	12.0	640	FSL	507.0	FWL	SWSW	28.0	8.0	S	17.0	E	S	7.0	e005bf557b17470c
18979	-110.159790615	40.0691793060001	154939	111286	4301331715	0	Vertical	I	BH			40.069173	-110.159779	4435773.0	571649.0	12.0	723	FSL	1970.0	FEL	SWSE	31.0	8.0	S	16.0	E	S	7.0	ff30ad4ab122a6cf
19007	-110.076921523	40.107109128	154974	125039	4301334140	0	Directional	S	BH			40.107103	-110.07691	4440053.0	578672.0	12.0	1122	FNL	244.0	FWL	NWNW	24.0	8.0	S	16.0	E	S	7.0	c4b92596dcbc7874
19084	-110.630463226	40.094557373	155054	114424	4301352186	0	Directional	PA	BH			40.094551	-110.630452	4438317.0	531501.0	12.0	810	FNL	810.0	FWL	NWNW	36.0	4.0	S	7.0	W	U	7.0	95f0daccdad682d4
19161	-110.117167482	40.0797998580001	155134	135957	4301331603	0	Vertical	I	BH			40.079794	-110.117156	4436987.0	575272.0	12.0	660	FNL	660.0	FEL	NENE	33.0	8.0	S	16.0	E	S	7.0	4192f79b0a20a3c0
19543	-110.173919479	40.069334977	155565	110843	4301330451	0	Vertical	PA	BH			40.069329	-110.173908	4435779.0	570444.0	12.0	784	FSL	784.0	FEL	SESE	36.0	8.0	S	15.0	E	S	7.0	302412fb29dd453d
19570	-110.112580976	40.0690074680001	155601	116459	4301331225	0	Vertical	I	BH			40.069001	-110.11257	4435793.0	575675.0	12.0	660	FSL	660.0	FWL	SWSW	34.0	8.0	S	16.0	E	S	7.0	1b1b82c08ed473e6
19578	-110.06070068	40.072526554	155612	120067	4301331572	0	Vertical	PA	BH			40.07252	-110.060689	4436229.0	580095.0	12.0	1991	FSL	662.0	FEL	NESE	36.0	8.0	S	16.0	E	S	7.0	4c9181adf038d3fb
19582	-110.140839775	40.080410311	155616	120904	4301332220	0	Vertical	PA	BH			40.080404	-110.140829	4437035.0	573253.0	12.0	470	FNL	1958.0	FEL	NWNE	32.0	8.0	S	16.0	E	S	7.0	318ec7988c9445f7
19670	-110.046862192	40.0725486590001	155717	116692	4301315113	0	Vertical	PA	BH			40.072543	-110.046851	4436244.0	581275.0	12.0	1980	FSL	1980.0	FEL	NWSE	31.0	8.0	S	17.0	E	S	7.0	19309e842017be88
19687	-110.005210267	40.0763518110001	155738	120120	4301331915	0	Vertical	I	BH			40.076346	-110.005199	4436705.0	584822.0	12.0	1954	FNL	851.0	FEL	SENE	33.0	8.0	S	17.0	E	S	7.0	6c480ba7d8d6a029
19921	-110.216081013	40.014768556	156003	110539	4301332825	0	Vertical	I	BH			40.014762	-110.21607	4429690.0	566902.0	12.0	2035	FSL	2023.0	FEL	NWSE	22.0	9.0	S	15.0	E	S	7.0	b8805c6bba4ae5aa
